FeatureName,Region,NGR,East,North,Lat,Long,LatLong,TreatmentOfRemains,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfFindsWithinDeposit,ArtefactsInDepositList,SexSingleDeposits,AgeSingleDeposits,ArtefactsSingleDeposits,SexGroupDeposits,AgeGroupDeposits,ArtefactsGroupDeposits,SitesWithUnknownSex,TerminusPostQuemBC,TerminusAnteQuemBC,MedianBC,DecadeOfExcavation
Debdon Farm cairn 1 cist 1,Northumberland,NU0504 ,405000.0,604000.0,55.330032,-1.9227385,"55.330032,-1.9227385",Uncremated remains,1.0,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2300.0,1750.0,2025.0,1877.0
Debdon Farm cairn 1 cremation deposit,Northumberland,NU0504 ,405000.0,604000.0,55.330032,-1.9227385,"55.330032,-1.9227385",Cremation,1.0,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2000.0,,2000.0,1877.0
Debdon Farm cairn 2 pit,Northumberland,NU0504 ,405000.0,604000.0,55.330032,-1.9227385,"55.330032,-1.9227385",Cremation,1.0,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2000.0,,2000.0,1877.0
Denton cist,Northumberland,NZ1965,419000.0,565000.0,54.979247,-1.7046725,"54.979247,-1.7046725",Uncremated remains,N/a,N/a,N/a,Food Vessel,,,,,,,N/a,2150.0,1750.0,1950.0,1822.0
Dilston Park cist A,Northumberland,NY9663,396000.0,563000.0,54.961616,-2.0640005,"54.961616,-2.0640005",Inhumation and Cremation,N/a,N/a,Adult,Beaker,,,,,,,N/a,2300.0,2100.0,2200.0,1900.0
Dilston Park cist B,Northumberland,NY9663,396000.0,563000.0,54.961616,-2.0640005,"54.961616,-2.0640005",Uncremated remains,N/a,N/a,N/a,Beaker,,,,,,,N/a,2300.0,2100.0,2200.0,1900.0
Doddington cist,Northumberland,NU005310,400500.0,631000.0,55.572664,-1.9936295,"55.572664,-1.9936295",Crouched burial,1.0,Possible Male,Adult,"Food Vessel,Flint knife,Stitched hide,Flint flakes",Possible Male,Adult,"Food Vessel, Flint knife, Stitched hide, Flint flakes",,,,,2150.0,1750.0,1950.0,1860.0
Dour Hill cist,Northumberland,NT794021,379400.0,602100.0,55.312548,-2.3260991,"55.312548,-2.3260991",Uncremated remains,1.0,Indet.,Child,Food Vessel,Indet.,Child,Food Vessel,,,,Indet.,2150.0,1950.0,2050.0,1970.0
Dour Hill cist,Northumberland,NT794021,379400.0,602100.0,55.312548,-2.3260991,"55.312548,-2.3260991",Uncremated remains,1.0,Indet.,Child,Food Vessel,Indet.,Child,Food Vessel,,,,Indet.,2150.0,1750.0,1950.0,1970.0
Elsnook cist,Northumberland,NU183187,418300.0,618700.0,55.461806,-1.7121504,"55.461806,-1.7121504",Uncremated remains,N/a,N/a,N/a,Beaker,,,,,,,N/a,2200.0,2000.0,2100.0,1920.0
Etal Moor barrow Beaker find,Northumberland,NT9640,396000.0,640000.0,55.653514,-2.0651289,"55.653514,-2.0651289",N/a,N/a,N/a,N/a,Beaker,,,,,,,N/a,2200.0,1850.0,2025.0,1860.0
